day,LAD22CD,distance,duration_minutes,user_count
2021-10-1,E09000001,11412.1981389436,40.73166666666667,10
2021-10-1,E09000002,7992.486098101789,37.16947890818859,403
2021-10-1,E09000003,7004.444211434709,33.789801864801866,572
2021-10-1,E09000004,6512.600295833933,31.43426294820717,502
2021-10-1,E09000005,5989.227889387404,33.04992006394884,417
2021-10-1,E09000006,7338.209105829394,32.46996058558559,592
2021-10-1,E09000007,5072.178806969609,33.825742574257426,202
2021-10-1,E09000008,6341.484937722186,32.37684563758389,596
2021-10-1,E09000009,7545.824319312616,35.80041014168531,447
2021-10-1,E09000010,7428.183687891295,33.854549019607845,425
2021-10-1,E09000011,7017.038130797799,35.83390957446808,376
2021-10-1,E09000012,6066.63556151555,37.19313063063063,148
2021-10-1,E09000013,5400.026378094762,36.760714285714286,182
2021-10-1,E09000014,7193.732987371819,38.1875,220
2021-10-1,E09000015,7633.194700648761,32.06127214170692,414
2021-10-1,E09000016,7237.103214460816,30.07319672131148,610
2021-10-1,E09000017,6824.3292525319985,31.58239664082687,516
2021-10-1,E09000018,6641.1729542775,30.816626016260166,410
2021-10-1,E09000019,5251.800680472799,31.531446540880502,159
2021-10-1,E09000020,4715.463376358532,31.66431767337808,149
2021-10-1,E09000021,6971.403701235213,30.59770580296896,247
2021-10-1,E09000022,5532.337034783564,34.30921501706485,293
2021-10-1,E09000023,6225.791339180846,36.281492248062015,344
2021-10-1,E09000024,6525.653225609634,37.095355191256836,305
2021-10-1,E09000025,7638.512054620119,35.61757000903342,369
2021-10-1,E09000026,7733.266198271126,32.858270989193684,401
2021-10-1,E09000027,5256.2752596242835,33.5433734939759,249
2021-10-1,E09000028,5726.516799965041,33.302908277404924,298
2021-10-1,E09000029,6035.895571725699,29.769402985074624,402
2021-10-1,E09000030,5402.694895965772,32.51066978193147,214
2021-10-1,E09000031,6390.981909730676,34.454595959595956,330
2021-10-1,E09000032,5998.386622883533,35.01409495548961,337
2021-10-1,E09000033,5411.3913230737835,31.907427536231882,184
2021-10-10,E09000001,13232.416247694104,50.76666666666667,6
2021-10-10,E09000002,7742.961704583481,23.73202614379085,153
2021-10-10,E09000003,7823.996337026444,23.84257142857143,175
2021-10-10,E09000004,6951.135255178252,20.326584867075667,163
2021-10-10,E09000005,6039.781374815331,28.102444444444444,150
2021-10-10,E09000006,6592.743272323673,21.969705340699818,181
2021-10-10,E09000007,6733.264662710345,33.24138888888889,60
2021-10-10,E09000008,6531.2380549093705,24.856701030927834,194
2021-10-10,E09000009,6201.3542265679625,23.17345238095238,140
2021-10-10,E09000010,8011.608542419996,28.581758530183727,127
2021-10-10,E09000011,7183.445222491639,28.218359375,128
2021-10-10,E09000012,7804.893116244301,39.50807291666666,64
2021-10-10,E09000013,5494.66808717046,28.51449275362319,46
2021-10-10,E09000014,7675.168646794483,34.56201550387597,86
2021-10-10,E09000015,6683.017807121356,22.359779614325067,121
2021-10-10,E09000016,6615.398026761868,18.63702594810379,167
2021-10-10,E09000017,6933.176468145709,21.636458333333334,144
2021-10-10,E09000018,6819.947132240116,24.387206572769955,142
2021-10-10,E09000019,5376.082916735197,29.971999999999998,50
2021-10-10,E09000020,4087.918353051349,22.431720430107525,31
2021-10-10,E09000021,5761.650138502521,21.91789215686274,68
2021-10-10,E09000022,5760.486677100104,27.315070921985818,94
2021-10-10,E09000023,6076.619086174745,23.31728395061728,108
2021-10-10,E09000024,6541.436847491222,28.716134751773048,94
2021-10-10,E09000025,7891.070189447224,30.461111111111112,126
2021-10-10,E09000026,8213.85707222905,27.687410071942445,139
2021-10-10,E09000027,4910.405736944383,21.608201058201058,63
2021-10-10,E09000028,5611.579885132214,29.09692028985507,92
2021-10-10,E09000029,7036.671141435514,23.344920634920634,105
2021-10-10,E09000030,6942.299936318385,30.728205128205126,65
2021-10-10,E09000031,7924.361135891319,33.27680412371134,97
2021-10-10,E09000032,5569.901232997672,29.735151515151518,110
2021-10-10,E09000033,8155.5852784699855,34.52195767195767,63
2021-10-11,E09000001,15459.491505155718,53.90666666666666,10
2021-10-11,E09000002,8586.023264575515,36.77538759689922,430
2021-10-11,E09000003,7925.913929448555,35.42940534642662,611
2021-10-11,E09000004,7787.177128161986,34.54541820418204,542
2021-10-11,E09000005,7351.484673695092,36.14180522565321,421
2021-10-11,E09000006,8022.552540569421,36.26577235772358,615
2021-10-11,E09000007,4913.543802208591,33.475163398692814,204
2021-10-11,E09000008,6975.712299653876,33.765928961748635,610
2021-10-11,E09000009,8076.782253648461,36.23669590643275,456
2021-10-11,E09000010,7477.836371620035,33.148352059925095,445
2021-10-11,E09000011,7498.237198278475,37.24499269005848,456
2021-10-11,E09000012,6011.597505831519,35.22978303747534,169
2021-10-11,E09000013,6008.332944959098,36.522677595628416,183
2021-10-11,E09000014,7035.102183456924,38.24869281045751,255
2021-10-11,E09000015,8495.587649105786,34.55164794007491,445
2021-10-11,E09000016,8276.765539811178,32.66002160994057,617
2021-10-11,E09000017,7930.43829091944,32.12655270655271,585
2021-10-11,E09000018,7394.189671694511,32.95456621004566,438
2021-10-11,E09000019,6164.441367947956,39.626816239316234,156
2021-10-11,E09000020,5274.137337543591,32.8696875,160
2021-10-11,E09000021,6876.832904556558,32.548671497584536,276
2021-10-11,E09000022,5832.837869748043,35.90625657202944,317
2021-10-11,E09000023,6539.147913454753,36.372825150732126,387
2021-10-11,E09000024,7453.2248388825765,38.93079268292683,328
2021-10-11,E09000025,7782.949333697655,37.68265306122449,392
2021-10-11,E09000026,8488.774327933797,34.74141208418194,491
