day,LAD22CD,GLA,trip_count
2021-10-12,E09000020,2958.6549677065864,1456
2021-10-12,E09000021,3648.409020085969,3515
2021-10-12,E09000022,3294.2065834171917,3918
2021-10-12,E09000023,3463.9783594485752,5124
2021-10-12,E09000024,3373.2727058938644,4608
2021-10-12,E09000025,3894.0735247144303,4470
2021-10-12,E09000026,3934.1712351663205,6604
2021-10-12,E09000027,3542.625845329243,4102
2021-10-12,E09000028,3082.066288969511,3423
2021-10-12,E09000029,3302.6583410770863,6270
2021-10-12,E09000030,3278.6532178405446,2468
2021-10-12,E09000031,3676.085466177161,4084
2021-10-12,E09000032,3423.8603855262895,5074
2021-10-12,E09000033,3106.917563369577,2235
2021-10-13,E09000001,5487.74437208631,124
2021-10-13,E09000002,3707.8679275418826,6378
2021-10-13,E09000003,3669.55191844187,9985
2021-10-13,E09000004,3622.2168380815374,8505
2021-10-13,E09000005,3600.247033202413,5758
2021-10-13,E09000006,3917.8705394330277,11117
2021-10-13,E09000007,2956.0022203123076,2527
2021-10-13,E09000008,3631.3752917653846,10214
2021-10-13,E09000009,3598.0252420279858,6948
2021-10-13,E09000010,3579.3147403124026,6471
2021-10-13,E09000011,3580.36189003413,6257
2021-10-13,E09000012,3075.2152473412975,2050
2021-10-13,E09000013,3115.5248723343807,2245
2021-10-13,E09000014,3434.4070245569565,3019
2021-10-13,E09000015,4181.555858203105,5835
2021-10-13,E09000016,3916.5219158032164,10023
2021-10-13,E09000017,4045.0534972051964,8391
2021-10-13,E09000018,3500.171200610525,6692
2021-10-13,E09000019,3040.0995779903933,2065
2021-10-13,E09000020,3017.912554075305,1619
2021-10-13,E09000021,3510.786663308501,3820
2021-10-13,E09000022,3170.1605543983133,4356
2021-10-13,E09000023,3424.695254694722,5370
2021-10-13,E09000024,3311.8132293422336,4957
2021-10-13,E09000025,3634.738443212669,4995
2021-10-13,E09000026,3858.8000260419635,7073
2021-10-13,E09000027,3626.7214223915144,4488
2021-10-13,E09000028,3070.787880999472,3859
2021-10-13,E09000029,3264.5872749009654,6539
2021-10-13,E09000030,3147.1861859938954,2624
2021-10-13,E09000031,3566.8984628393728,4560
2021-10-13,E09000032,3418.550691415669,5377
2021-10-13,E09000033,3000.363161953941,2641
2021-10-14,E09000001,4316.504612091015,142
2021-10-14,E09000002,3757.9847439921673,6227
2021-10-14,E09000003,3601.689557559309,9992
2021-10-14,E09000004,3547.3077594837714,8839
2021-10-14,E09000005,3568.1071854358383,5850
2021-10-14,E09000006,3960.3234354568804,11410
2021-10-14,E09000007,2903.5599408545245,2831
2021-10-14,E09000008,3636.059004255678,10242
2021-10-14,E09000009,3620.8802698418763,6990
2021-10-14,E09000010,3688.8660968468694,6459
2021-10-14,E09000011,3648.125457679151,6200
2021-10-14,E09000012,2995.2014970077707,2116
2021-10-14,E09000013,2952.8019579809343,2378
2021-10-14,E09000014,3414.32531430494,3140
2021-10-14,E09000015,4022.756773428879,6176
2021-10-14,E09000016,3891.6560223375636,9933
2021-10-14,E09000017,3985.911528649743,8204
2021-10-14,E09000018,3407.2482633420564,6783
2021-10-14,E09000019,2802.995272371159,2134
2021-10-14,E09000020,2842.885892769162,1754
2021-10-14,E09000021,3588.523847908838,3935
2021-10-14,E09000022,3143.4555107895762,4396
2021-10-14,E09000023,3297.2131067249356,5699
2021-10-14,E09000024,3325.022755798458,5103
2021-10-14,E09000025,3682.495344147679,4767
2021-10-14,E09000026,3851.4172916453285,7193
2021-10-14,E09000027,3508.327862670125,4642
2021-10-14,E09000028,2927.1156955618208,3865
2021-10-14,E09000029,3212.306114270541,6882
2021-10-14,E09000030,3255.6051712526923,2789
2021-10-14,E09000031,3513.2429914768636,4592
2021-10-14,E09000032,3307.986791818472,5535
2021-10-14,E09000033,3046.626336914275,2554
2021-10-15,E09000001,4119.917373197732,115
2021-10-15,E09000002,3769.2393568014513,6597
2021-10-15,E09000003,3525.355553953765,10761
2021-10-15,E09000004,3312.3108839742395,9359
2021-10-15,E09000005,3526.6706749466666,6196
2021-10-15,E09000006,3602.308218032184,12050
2021-10-15,E09000007,2811.9467441632087,2832
2021-10-15,E09000008,3589.4334921841846,10700
2021-10-15,E09000009,3657.5151613673997,7354
2021-10-15,E09000010,3580.971609619803,7090
2021-10-15,E09000011,3464.797618191398,6463
2021-10-15,E09000012,2924.58944937195,2289
2021-10-15,E09000013,3016.733935030966,2525
2021-10-15,E09000014,3337.34020842843,3440
2021-10-15,E09000015,3891.2185055187565,6667
2021-10-15,E09000016,3580.0340632477023,10467
2021-10-15,E09000017,3848.4689966791107,8807
2021-10-15,E09000018,3440.4381597482434,6850
2021-10-15,E09000019,2947.495167231955,2139
