day,MSOA21CD,activity_count
2021-10-1,E02000373,17
2021-10-1,E02000374,18
2021-10-1,E02000375,310
2021-10-1,E02000376,45
2021-10-1,E02000377,29
2021-10-1,E02000378,46
2021-10-1,E02000379,23
2021-10-1,E02000380,33
2021-10-1,E02000381,61
2021-10-1,E02000382,113
2021-10-1,E02000383,38
2021-10-1,E02000384,189
2021-10-1,E02000385,32
2021-10-1,E02000386,29
2021-10-1,E02000387,46
2021-10-1,E02000388,73
2021-10-1,E02000389,47
2021-10-1,E02000390,20
2021-10-1,E02000391,111
2021-10-1,E02000392,115
2021-10-1,E02000393,28
2021-10-1,E02000394,69
2021-10-1,E02000395,80
2021-10-1,E02000396,55
2021-10-1,E02000397,24
2021-10-1,E02000398,46
2021-10-1,E02000400,43
2021-10-1,E02000401,25
2021-10-1,E02000402,32
2021-10-1,E02000403,53
2021-10-1,E02000404,27
2021-10-1,E02000405,164
2021-10-1,E02000406,23
2021-10-1,E02000407,28
2021-10-1,E02000408,30
2021-10-1,E02000409,21
2021-10-1,E02000410,58
2021-10-1,E02000411,52
2021-10-1,E02000412,194
2021-10-1,E02000413,27
2021-10-1,E02000414,11
2021-10-1,E02000415,39
2021-10-1,E02000416,46
2021-10-1,E02000417,64
2021-10-1,E02000418,31
2021-10-1,E02000419,35
2021-10-1,E02000420,58
2021-10-1,E02000421,81
2021-10-1,E02000422,33
2021-10-1,E02000423,30
2021-10-1,E02000424,38
2021-10-1,E02000425,42
2021-10-1,E02000426,102
2021-10-1,E02000427,47
2021-10-1,E02000428,32
2021-10-1,E02000429,53
2021-10-1,E02000430,41
2021-10-1,E02000431,58
2021-10-1,E02000432,11
2021-10-1,E02000433,140
2021-10-1,E02000434,104
2021-10-1,E02000435,41
2021-10-1,E02000436,35
2021-10-1,E02000437,76
2021-10-1,E02000438,131
2021-10-1,E02000439,57
2021-10-1,E02000440,123
2021-10-1,E02000441,50
2021-10-1,E02000442,90
2021-10-1,E02000443,100
2021-10-1,E02000444,133
2021-10-1,E02000445,80
2021-10-1,E02000447,42
2021-10-1,E02000448,121
2021-10-1,E02000449,50
2021-10-1,E02000451,114
2021-10-1,E02000452,100
2021-10-1,E02000453,73
2021-10-1,E02000454,80
2021-10-1,E02000455,226
2021-10-1,E02000456,33
2021-10-1,E02000457,63
2021-10-1,E02000459,71
2021-10-1,E02000460,57
2021-10-1,E02000461,132
2021-10-1,E02000462,71
2021-10-1,E02000463,40
2021-10-1,E02000464,47
2021-10-1,E02000465,143
2021-10-1,E02000466,56
2021-10-1,E02000467,119
2021-10-1,E02000468,138
2021-10-1,E02000469,96
2021-10-1,E02000470,248
2021-10-1,E02000471,150
2021-10-1,E02000472,69
2021-10-1,E02000473,240
2021-10-1,E02000474,104
2021-10-1,E02000475,134
2021-10-1,E02000476,660
2021-10-1,E02000477,93
2021-10-1,E02000478,121
2021-10-1,E02000479,241
2021-10-1,E02000480,223
2021-10-1,E02000481,82
2021-10-1,E02000482,189
2021-10-1,E02000483,223
2021-10-1,E02000484,144
2021-10-1,E02000485,150
2021-10-1,E02000486,126
2021-10-1,E02000487,96
2021-10-1,E02000488,113
2021-10-1,E02000489,65
2021-10-1,E02000490,80
2021-10-1,E02000491,137
2021-10-1,E02000492,71
2021-10-1,E02000493,109
2021-10-1,E02000494,74
2021-10-1,E02000495,196
2021-10-1,E02000496,61
2021-10-1,E02000497,189
2021-10-1,E02000498,56
2021-10-1,E02000499,75
2021-10-1,E02000500,205
2021-10-1,E02000501,72
2021-10-1,E02000502,111
2021-10-1,E02000503,44
2021-10-1,E02000504,98
2021-10-1,E02000506,129
2021-10-1,E02000507,54
2021-10-1,E02000508,315
2021-10-1,E02000509,171
2021-10-1,E02000510,177
2021-10-1,E02000511,81
2021-10-1,E02000512,65
2021-10-1,E02000513,74
2021-10-1,E02000514,72
2021-10-1,E02000515,146
2021-10-1,E02000516,60
2021-10-1,E02000517,51
2021-10-1,E02000518,99
2021-10-1,E02000519,186
2021-10-1,E02000520,252
2021-10-1,E02000521,80
2021-10-1,E02000522,59
2021-10-1,E02000523,95
2021-10-1,E02000524,626
2021-10-1,E02000525,89
2021-10-1,E02000526,101
2021-10-1,E02000529,53
2021-10-1,E02000530,121
2021-10-1,E02000531,134
2021-10-1,E02000532,101
2021-10-1,E02000533,60
2021-10-1,E02000534,168
2021-10-1,E02000535,66
2021-10-1,E02000536,92
2021-10-1,E02000537,71
2021-10-1,E02000538,76
2021-10-1,E02000539,202
2021-10-1,E02000540,106
2021-10-1,E02000541,62
2021-10-1,E02000542,84
2021-10-1,E02000543,186
2021-10-1,E02000544,21
2021-10-1,E02000545,123
2021-10-1,E02000546,61
2021-10-1,E02000547,131
2021-10-1,E02000548,51
2021-10-1,E02000549,151
2021-10-1,E02000550,113
2021-10-1,E02000551,87
2021-10-1,E02000552,50
2021-10-1,E02000553,52
2021-10-1,E02000554,25
2021-10-1,E02000555,22
2021-10-1,E02000556,53
2021-10-1,E02000557,85
2021-10-1,E02000558,63
2021-10-1,E02000559,40
2021-10-1,E02000560,85
2021-10-1,E02000561,18
2021-10-1,E02000562,50
2021-10-1,E02000563,32
2021-10-1,E02000564,97
2021-10-1,E02000565,15
2021-10-1,E02000566,55
2021-10-1,E02000567,25
2021-10-1,E02000568,90
2021-10-1,E02000569,39
2021-10-1,E02000570,27
2021-10-1,E02000571,26
2021-10-1,E02000572,43
2021-10-1,E02000573,155
2021-10-1,E02000574,85
2021-10-1,E02000575,176
2021-10-1,E02000576,176
2021-10-1,E02000577,69
2021-10-1,E02000578,26
2021-10-1,E02000579,54
2021-10-1,E02000580,57
2021-10-1,E02000581,37
2021-10-1,E02000582,68
2021-10-1,E02000583,55
2021-10-1,E02000584,119
2021-10-1,E02000585,47
2021-10-1,E02000586,119
2021-10-1,E02000587,50
2021-10-1,E02000588,221
2021-10-1,E02000589,65
2021-10-1,E02000590,112
2021-10-1,E02000591,68
2021-10-1,E02000592,114
2021-10-1,E02000593,61
2021-10-1,E02000594,116
2021-10-1,E02000595,103
2021-10-1,E02000596,104
2021-10-1,E02000597,64
2021-10-1,E02000598,70
2021-10-1,E02000599,84
2021-10-1,E02000600,118
2021-10-1,E02000601,117
2021-10-1,E02000602,126
2021-10-1,E02000603,74
2021-10-1,E02000604,143
2021-10-1,E02000605,109
2021-10-1,E02000606,505
2021-10-1,E02000607,33
2021-10-1,E02000608,87
2021-10-1,E02000609,81
2021-10-1,E02000610,55
2021-10-1,E02000611,46
2021-10-1,E02000612,60
2021-10-1,E02000613,80
2021-10-1,E02000614,108
2021-10-1,E02000615,113
2021-10-1,E02000616,21
2021-10-1,E02000617,95
2021-10-1,E02000619,37
2021-10-1,E02000620,75
2021-10-1,E02000621,93
2021-10-1,E02000622,53
2021-10-1,E02000623,30
2021-10-1,E02000624,30
2021-10-1,E02000625,43
2021-10-1,E02000626,27
2021-10-1,E02000627,38
2021-10-1,E02000628,130
2021-10-1,E02000629,54
2021-10-1,E02000630,74
2021-10-1,E02000631,121
2021-10-1,E02000632,47
2021-10-1,E02000633,80
2021-10-1,E02000634,42
2021-10-1,E02000635,65
2021-10-1,E02000636,57
2021-10-1,E02000637,30
2021-10-1,E02000638,50
2021-10-1,E02000639,24
2021-10-1,E02000640,40
2021-10-1,E02000641,33
2021-10-1,E02000642,54
2021-10-1,E02000643,54
2021-10-1,E02000644,68
2021-10-1,E02000645,66
2021-10-1,E02000646,115
2021-10-1,E02000647,46
2021-10-1,E02000648,45
2021-10-1,E02000649,81
2021-10-1,E02000650,39
2021-10-1,E02000651,63
2021-10-1,E02000652,31
2021-10-1,E02000653,40
2021-10-1,E02000654,37
2021-10-1,E02000655,69
2021-10-1,E02000657,51
2021-10-1,E02000658,33
2021-10-1,E02000659,53
2021-10-1,E02000660,37
2021-10-1,E02000661,70
2021-10-1,E02000662,44
2021-10-1,E02000663,29
2021-10-1,E02000665,59
2021-10-1,E02000666,49
2021-10-1,E02000667,31
2021-10-1,E02000668,57
2021-10-1,E02000669,43
2021-10-1,E02000670,28
2021-10-1,E02000671,32
2021-10-1,E02000672,173
2021-10-1,E02000673,37
2021-10-1,E02000674,17
2021-10-1,E02000675,47
2021-10-1,E02000676,14
2021-10-1,E02000677,58
2021-10-1,E02000678,34
2021-10-1,E02000679,48
2021-10-1,E02000680,50
2021-10-1,E02000681,115
2021-10-1,E02000682,62
2021-10-1,E02000683,19
2021-10-1,E02000685,63
2021-10-1,E02000686,81
2021-10-1,E02000687,40
2021-10-1,E02000689,103
2021-10-1,E02000690,190
2021-10-1,E02000691,141
2021-10-1,E02000692,197
2021-10-1,E02000693,176
2021-10-1,E02000694,56
2021-10-1,E02000695,32
2021-10-1,E02000696,43
2021-10-1,E02000697,191
2021-10-1,E02000698,84
2021-10-1,E02000699,60
2021-10-1,E02000700,44
2021-10-1,E02000701,66
2021-10-1,E02000702,46
2021-10-1,E02000703,93
2021-10-1,E02000704,219
2021-10-1,E02000705,49
2021-10-1,E02000706,82
2021-10-1,E02000707,46
2021-10-1,E02000708,80
2021-10-1,E02000709,51
2021-10-1,E02000710,114
2021-10-1,E02000711,145
2021-10-1,E02000712,49
2021-10-1,E02000713,76
2021-10-1,E02000714,34
2021-10-1,E02000715,29
2021-10-1,E02000716,37
2021-10-1,E02000717,42
2021-10-1,E02000718,21
2021-10-1,E02000719,31
2021-10-1,E02000720,23
2021-10-1,E02000721,101
2021-10-1,E02000722,30
2021-10-1,E02000723,71
2021-10-1,E02000724,29
2021-10-1,E02000725,183
2021-10-1,E02000727,42
2021-10-1,E02000728,19
2021-10-1,E02000729,23
2021-10-1,E02000730,59
2021-10-1,E02000731,113
2021-10-1,E02000732,23
2021-10-1,E02000733,32
2021-10-1,E02000734,23
2021-10-1,E02000735,62
2021-10-1,E02000736,55
2021-10-1,E02000737,76
2021-10-1,E02000738,38
2021-10-1,E02000739,25
2021-10-1,E02000740,59
2021-10-1,E02000741,81
2021-10-1,E02000742,30
2021-10-1,E02000743,65
2021-10-1,E02000744,26
2021-10-1,E02000745,18
2021-10-1,E02000746,315
2021-10-1,E02000747,132
2021-10-1,E02000748,47
2021-10-1,E02000749,185
2021-10-1,E02000751,174
2021-10-1,E02000752,68
2021-10-1,E02000753,23
2021-10-1,E02000754,32
2021-10-1,E02000755,26
2021-10-1,E02000756,233
2021-10-1,E02000757,110
2021-10-1,E02000758,42
2021-10-1,E02000759,112
2021-10-1,E02000760,93
2021-10-1,E02000762,55
2021-10-1,E02000763,70
2021-10-1,E02000764,99
2021-10-1,E02000765,61
2021-10-1,E02000767,134
2021-10-1,E02000768,64
2021-10-1,E02000770,37
2021-10-1,E02000772,200
2021-10-1,E02000773,69
2021-10-1,E02000774,86
2021-10-1,E02000776,38
2021-10-1,E02000777,24
2021-10-1,E02000779,81
2021-10-1,E02000781,62
2021-10-1,E02000782,64
2021-10-1,E02000783,37
2021-10-1,E02000784,162
2021-10-1,E02000785,139
2021-10-1,E02000786,117
2021-10-1,E02000787,116
2021-10-1,E02000788,95
2021-10-1,E02000789,97
2021-10-1,E02000790,47
2021-10-1,E02000791,170
2021-10-1,E02000792,102
2021-10-1,E02000793,73
2021-10-1,E02000794,84
2021-10-1,E02000795,121
2021-10-1,E02000796,63
2021-10-1,E02000797,204
2021-10-1,E02000798,142
2021-10-1,E02000799,95
2021-10-1,E02000800,14
2021-10-1,E02000801,84
2021-10-1,E02000802,50
2021-10-1,E02000803,165
2021-10-1,E02000804,125
2021-10-1,E02000805,61
2021-10-1,E02000806,79
2021-10-1,E02000807,43
2021-10-1,E02000808,313
2021-10-1,E02000810,74
2021-10-1,E02000812,177
2021-10-1,E02000813,103
2021-10-1,E02000814,53
2021-10-1,E02000815,56
2021-10-1,E02000816,82
2021-10-1,E02000817,56
2021-10-1,E02000818,76
2021-10-1,E02000819,58
2021-10-1,E02000820,34
2021-10-1,E02000821,60
2021-10-1,E02000822,49
2021-10-1,E02000823,53
2021-10-1,E02000824,86
2021-10-1,E02000825,33
2021-10-1,E02000826,36
2021-10-1,E02000827,111
2021-10-1,E02000828,119
2021-10-1,E02000829,49
2021-10-1,E02000830,74
2021-10-1,E02000831,70
2021-10-1,E02000832,28
2021-10-1,E02000833,51
2021-10-1,E02000834,57
2021-10-1,E02000835,26
2021-10-1,E02000836,73
2021-10-1,E02000837,101
2021-10-1,E02000838,29
2021-10-1,E02000839,258
2021-10-1,E02000840,42
2021-10-1,E02000841,122
2021-10-1,E02000842,187
2021-10-1,E02000843,85
2021-10-1,E02000844,120
2021-10-1,E02000845,95
2021-10-1,E02000846,85
2021-10-1,E02000847,102
2021-10-1,E02000848,213
2021-10-1,E02000849,81
2021-10-1,E02000850,226
2021-10-1,E02000851,363
2021-10-1,E02000852,33
2021-10-1,E02000853,48
2021-10-1,E02000854,127
2021-10-1,E02000855,101
2021-10-1,E02000856,152
2021-10-1,E02000857,139
2021-10-1,E02000858,126
2021-10-1,E02000859,89
2021-10-1,E02000860,43
2021-10-1,E02000861,81
2021-10-1,E02000863,125
2021-10-1,E02000864,40
2021-10-1,E02000865,25
2021-10-1,E02000866,55
2021-10-1,E02000867,79
2021-10-1,E02000868,34
2021-10-1,E02000869,14
2021-10-1,E02000870,22
2021-10-1,E02000871,58
2021-10-1,E02000872,77
2021-10-1,E02000873,89
2021-10-1,E02000874,36
2021-10-1,E02000875,21
2021-10-1,E02000876,85
2021-10-1,E02000877,67
2021-10-1,E02000878,144
2021-10-1,E02000879,26
2021-10-1,E02000880,79
2021-10-1,E02000881,22
2021-10-1,E02000882,24
2021-10-1,E02000883,52
2021-10-1,E02000884,110
2021-10-1,E02000885,35
2021-10-1,E02000886,22
2021-10-1,E02000887,37
2021-10-1,E02000888,34
2021-10-1,E02000889,34
2021-10-1,E02000890,55
2021-10-1,E02000893,68
2021-10-1,E02000894,40
2021-10-1,E02000895,72
2021-10-1,E02000896,100
2021-10-1,E02000897,67
2021-10-1,E02000898,55
2021-10-1,E02000899,78
2021-10-1,E02000900,161
2021-10-1,E02000901,145
2021-10-1,E02000902,50
2021-10-1,E02000903,46
2021-10-1,E02000904,75
2021-10-1,E02000905,58
2021-10-1,E02000906,33
2021-10-1,E02000907,64
2021-10-1,E02000908,77
2021-10-1,E02000909,76
2021-10-1,E02000910,55
2021-10-1,E02000911,154
2021-10-1,E02000912,39
2021-10-1,E02000913,102
2021-10-1,E02000914,78
2021-10-1,E02000915,50
2021-10-1,E02000916,85
2021-10-1,E02000917,47
2021-10-1,E02000918,87
2021-10-1,E02000919,22
2021-10-1,E02000920,125
2021-10-1,E02000921,19
2021-10-1,E02000922,48
2021-10-1,E02000923,51
2021-10-1,E02000925,42
2021-10-1,E02000926,82
2021-10-1,E02000927,21
2021-10-1,E02000928,78
2021-10-1,E02000929,44
2021-10-1,E02000930,157
2021-10-1,E02000931,25
2021-10-1,E02000932,249
2021-10-1,E02000933,65
2021-10-1,E02000934,123
2021-10-1,E02000935,113
2021-10-1,E02000936,77
2021-10-1,E02000937,68
2021-10-1,E02000938,56
2021-10-1,E02000939,45
2021-10-1,E02000940,136
2021-10-1,E02000941,108
2021-10-1,E02000942,77
2021-10-1,E02000943,125
2021-10-1,E02000944,16
2021-10-1,E02000945,83
2021-10-1,E02000946,105
2021-10-1,E02000947,86
2021-10-1,E02000948,33
2021-10-1,E02000949,76
2021-10-1,E02000950,31
2021-10-1,E02000951,33
2021-10-1,E02000952,31
2021-10-1,E02000953,62
2021-10-1,E02000954,30
2021-10-1,E02000955,56
2021-10-1,E02000956,173
2021-10-1,E02000957,149
2021-10-1,E02000958,51
2021-10-1,E02000959,21
2021-10-1,E02000960,68
2021-10-1,E02000961,64
2021-10-1,E02000962,70
2021-10-1,E02000963,27
2021-10-1,E02000964,29
2021-10-1,E02000965,52
2021-10-1,E02000966,80
2021-10-1,E02000967,170
2021-10-1,E02000968,117
2021-10-1,E02000969,50
2021-10-1,E02000970,480
2021-10-1,E02000971,146
2021-10-1,E02000972,1025
2021-10-1,E02000973,58
2021-10-1,E02000974,176
2021-10-1,E02000975,78
2021-10-1,E02000976,81
2021-10-1,E02000977,1230
2021-10-1,E02000978,214
2021-10-1,E02000979,404
2021-10-1,E02000980,64
2021-10-1,E02000981,68
2021-10-1,E02000982,205
2021-10-1,E02000983,45
2021-10-1,E02006782,46
2021-10-1,E02006783,89
2021-10-1,E02006784,74
2021-10-1,E02006785,46
2021-10-1,E02006786,35
2021-10-1,E02006787,180
2021-10-1,E02006788,24
2021-10-1,E02006789,198
2021-10-1,E02006791,33
2021-10-1,E02006792,166
2021-10-1,E02006793,62
2021-10-1,E02006794,79
2021-10-1,E02006795,45
2021-10-1,E02006796,277
2021-10-1,E02006798,61
2021-10-1,E02006799,72
2021-10-1,E02006800,101
2021-10-1,E02006801,386
2021-10-1,E02006802,117
2021-10-1,E02006836,51
2021-10-1,E02006853,37
2021-10-1,E02006854,272
2021-10-1,E02006882,90
2021-10-1,E02006918,14
2021-10-1,E02006921,18
2021-10-1,E02006924,111
2021-10-1,E02006925,193
2021-10-1,E02006927,201
2021-10-1,E02006928,64
2021-10-1,E02006930,142
2021-10-1,E02006931,129
2021-10-1,E02006941,125
2021-10-1,E02006942,47
2021-10-1,E02006953,39
2021-10-1,E02006954,64
2021-10-1,E02006955,160
2021-10-1,E02006956,89
2021-10-1,E02006968,74
2021-10-1,E02006969,177
2021-10-1,E02006970,43
2021-10-1,E02006971,48
2021-10-1,E02006972,70
2021-10-1,E02006973,65
2021-10-1,E02006987,216
2021-10-1,E02006988,64
2021-10-1,E02006991,54
2021-10-1,E02006992,256
2021-10-1,E02006993,123
2021-10-1,E02006994,180
2021-10-1,E02006995,42
2021-10-1,E02006996,450
2021-10-1,E02006997,70
2021-10-1,E02006998,58
2021-10-1,E02006999,49
2021-10-1,E02007008,91
2021-10-1,E02007009,171
2021-10-1,E02007017,36
2021-10-1,E02007018,65
2021-10-1,E02007019,181
2021-10-1,E02007020,13
2021-10-1,E02007083,96
2021-10-1,E02007084,53
2021-10-1,E02007108,44
2021-10-1,E02007109,31
2021-10-1,E02007110,40
2021-10-1,E02007111,214
