day,LAD22CD,activity_count
2021-10-14,E09000021,2105
2021-10-14,E09000022,2211
2021-10-14,E09000023,2161
2021-10-14,E09000024,2096
2021-10-14,E09000025,2445
2021-10-14,E09000026,2798
2021-10-14,E09000027,2253
2021-10-14,E09000028,2757
2021-10-14,E09000029,2817
2021-10-14,E09000030,2101
2021-10-14,E09000031,2027
2021-10-14,E09000032,2886
2021-10-14,E09000033,5243
2021-10-15,E09000001,1241
2021-10-15,E09000002,2334
2021-10-15,E09000003,4326
2021-10-15,E09000004,4138
2021-10-15,E09000005,2701
2021-10-15,E09000006,5780
2021-10-15,E09000007,2910
2021-10-15,E09000008,4451
2021-10-15,E09000009,3060
2021-10-15,E09000010,2828
2021-10-15,E09000011,3347
2021-10-15,E09000012,1326
2021-10-15,E09000013,1879
2021-10-15,E09000014,1831
2021-10-15,E09000015,2563
2021-10-15,E09000016,4809
2021-10-15,E09000017,4588
2021-10-15,E09000018,2840
2021-10-15,E09000019,1540
2021-10-15,E09000020,1776
2021-10-15,E09000021,2236
2021-10-15,E09000022,2483
2021-10-15,E09000023,2374
2021-10-15,E09000024,2347
2021-10-15,E09000025,2769
2021-10-15,E09000026,3103
2021-10-15,E09000027,2574
2021-10-15,E09000028,2880
2021-10-15,E09000029,2857
2021-10-15,E09000030,2107
2021-10-15,E09000031,2000
2021-10-15,E09000032,3055
2021-10-15,E09000033,5185
2021-10-16,E09000001,560
2021-10-16,E09000002,1887
2021-10-16,E09000003,3657
2021-10-16,E09000004,3190
2021-10-16,E09000005,2622
2021-10-16,E09000006,4825
2021-10-16,E09000007,2330
2021-10-16,E09000008,3971
2021-10-16,E09000009,2871
2021-10-16,E09000010,2953
2021-10-16,E09000011,3230
2021-10-16,E09000012,1293
2021-10-16,E09000013,1805
2021-10-16,E09000014,1776
2021-10-16,E09000015,2390
2021-10-16,E09000016,4156
2021-10-16,E09000017,4019
2021-10-16,E09000018,2838
2021-10-16,E09000019,1248
2021-10-16,E09000020,1670
2021-10-16,E09000021,2107
2021-10-16,E09000022,2430
2021-10-16,E09000023,1962
2021-10-16,E09000024,2146
2021-10-16,E09000025,2838
2021-10-16,E09000026,2641
2021-10-16,E09000027,2278
2021-10-16,E09000028,2366
2021-10-16,E09000029,2500
2021-10-16,E09000030,1834
2021-10-16,E09000031,1909
2021-10-16,E09000032,2525
2021-10-16,E09000033,5132
2021-10-17,E09000001,303
2021-10-17,E09000002,1598
2021-10-17,E09000003,3016
2021-10-17,E09000004,2350
2021-10-17,E09000005,2078
2021-10-17,E09000006,3596
2021-10-17,E09000007,1673
2021-10-17,E09000008,2823
2021-10-17,E09000009,2242
2021-10-17,E09000010,2255
2021-10-17,E09000011,2746
2021-10-17,E09000012,919
2021-10-17,E09000013,1343
2021-10-17,E09000014,1893
2021-10-17,E09000015,1746
2021-10-17,E09000016,2963
2021-10-17,E09000017,3308
2021-10-17,E09000018,2163
2021-10-17,E09000019,868
2021-10-17,E09000020,1192
2021-10-17,E09000021,1490
2021-10-17,E09000022,1508
2021-10-17,E09000023,1553
2021-10-17,E09000024,1665
2021-10-17,E09000025,2235
2021-10-17,E09000026,2109
2021-10-17,E09000027,1554
2021-10-17,E09000028,1660
2021-10-17,E09000029,1845
2021-10-17,E09000030,1380
2021-10-17,E09000031,1349
2021-10-17,E09000032,1824
2021-10-17,E09000033,3404
2021-10-18,E09000001,1055
2021-10-18,E09000002,2040
2021-10-18,E09000003,3494
2021-10-18,E09000004,3629
2021-10-18,E09000005,2458
2021-10-18,E09000006,3977
2021-10-18,E09000007,2328
2021-10-18,E09000008,3364
2021-10-18,E09000009,2604
2021-10-18,E09000010,2360
2021-10-18,E09000011,2773
2021-10-18,E09000012,1040
2021-10-18,E09000013,1415
2021-10-18,E09000014,1448
2021-10-18,E09000015,1867
2021-10-18,E09000016,4069
2021-10-18,E09000017,4057
2021-10-18,E09000018,2574
2021-10-18,E09000019,1824
2021-10-18,E09000020,1552
2021-10-18,E09000021,1748
2021-10-18,E09000022,1891
2021-10-18,E09000023,2010
2021-10-18,E09000024,1909
2021-10-18,E09000025,2474
2021-10-18,E09000026,2477
2021-10-18,E09000027,1837
2021-10-18,E09000028,2119
2021-10-18,E09000029,2592
2021-10-18,E09000030,1871
2021-10-18,E09000031,1715
2021-10-18,E09000032,2330
2021-10-18,E09000033,4211
2021-10-19,E09000001,1383
2021-10-19,E09000002,2141
2021-10-19,E09000003,3653
2021-10-19,E09000004,3696
2021-10-19,E09000005,2449
2021-10-19,E09000006,4020
2021-10-19,E09000007,2787
2021-10-19,E09000008,3494
2021-10-19,E09000009,2866
2021-10-19,E09000010,2588
2021-10-19,E09000011,3068
2021-10-19,E09000012,1212
2021-10-19,E09000013,1630
2021-10-19,E09000014,1517
2021-10-19,E09000015,2039
2021-10-19,E09000016,4194
2021-10-19,E09000017,3997
2021-10-19,E09000018,2604
2021-10-19,E09000019,1508
2021-10-19,E09000020,1578
2021-10-19,E09000021,1904
2021-10-19,E09000022,2020
2021-10-19,E09000023,2069
2021-10-19,E09000024,1847
2021-10-19,E09000025,2340
2021-10-19,E09000026,2766
2021-10-19,E09000027,1861
2021-10-19,E09000028,2365
2021-10-19,E09000029,2679
2021-10-19,E09000030,1983
2021-10-19,E09000031,1896
2021-10-19,E09000032,2395
2021-10-19,E09000033,4797
2021-10-2,E09000001,515
2021-10-2,E09000002,1813
2021-10-2,E09000003,3397
2021-10-2,E09000004,3060
2021-10-2,E09000005,2316
2021-10-2,E09000006,4699
2021-10-2,E09000007,2148
2021-10-2,E09000008,3824
2021-10-2,E09000009,2731
2021-10-2,E09000010,2509
2021-10-2,E09000011,2963
2021-10-2,E09000012,1183
2021-10-2,E09000013,2144
2021-10-2,E09000014,1593
2021-10-2,E09000015,2296
2021-10-2,E09000016,3914
2021-10-2,E09000017,3610
2021-10-2,E09000018,2584
2021-10-2,E09000019,1169
2021-10-2,E09000020,1565
2021-10-2,E09000021,1978
2021-10-2,E09000022,1978
2021-10-2,E09000023,1713
2021-10-2,E09000024,2060
2021-10-2,E09000025,2636
2021-10-2,E09000026,2464
2021-10-2,E09000027,2071
2021-10-2,E09000028,2183
2021-10-2,E09000029,2451
